"","Rank","Study.Results","Gender","Phases","Funded.Bys","Start.Date","Primary.Completion.Date","Completion.Date","Results.First.Posted","DaysInterval","Country","Multicentric"
"2207",2286,"No Results Available","All","Phase 1","Other","September 2013",2016-10-01,2016-10-01,NA,NA," United States","0"
"2208",2287,"No Results Available","Female","Phase 2","Industry|Other","September 2011",2014-09-01,2014-09-01,NA,NA," Norway","0"
"2209",2288,"No Results Available","All","Phase 1|Phase 2","Industry","December 2009",2013-08-01,2013-08-01,NA,NA,"Multicentric","1"
"2210",2289,"Has Results","All","Phase 2","Industry|Other","March 2010",2016-01-01,2017-01-01,2017-12-27,726,"Multicentric","1"
"2211",2290,"No Results Available","All","Phase 1","Industry","April 2011",2017-07-01,2017-07-11,NA,NA,"Multicentric","1"
"2212",2291,"No Results Available","All","Phase 2","Other","December 2009",2013-06-01,2014-12-01,NA,NA," Republic of","0"
"2213",2292,"No Results Available","All","Phase 4","Other","January 2012",2015-07-01,2015-11-01,NA,NA," Switzerland","0"
"2214",2293,"No Results Available","Female","Phase 1","Other","December 2011",2014-12-01,2014-12-01,NA,NA," United States","0"
"2215",2294,"No Results Available","All","Phase 1|Phase 2","Other","July 2015",2017-10-24,2017-10-24,NA,NA," Canada","0"
"2216",2295,"Has Results","All","Phase 3","Industry","May 2010",2011-09-01,2012-01-01,2014-11-11,1167,"Multicentric","1"
"2217",2296,"No Results Available","All","Phase 1","Industry","February 2014",2014-11-01,2015-06-17,NA,NA," United States","0"
"2218",2297,"Has Results","All","Phase 2","Industry","June 2010",2013-08-01,2015-09-01,2014-07-14,347,"Multicentric","1"
"2219",2298,"No Results Available","All","Phase 1","Industry","May 11, 2012",2014-08-01,2015-04-16,NA,NA,"Multicentric","1"
"2220",2299,"No Results Available","All","Phase 1","Industry","May 25, 2011",2017-08-09,2017-08-09,NA,NA,"Multicentric","1"
"2221",2300,"Has Results","All","Phase 1","NIH","January 5, 2012",2016-03-03,2016-09-01,2017-07-31,515," United States","0"
"2222",2301,"Has Results","All","Phase 1|Phase 2","Industry|Other","May 10, 2017",2017-08-04,2017-08-04,2018-08-21,382," United States","0"
"2223",2302,"No Results Available","All","Phase 1","Industry","July 2008",2013-02-01,2013-02-01,NA,NA,"Multicentric","1"
"2224",2303,"No Results Available","All","Phase 1","Industry|Other","July 2009",2013-03-01,2013-03-01,NA,NA," United States","0"
"2225",2304,"Has Results","All","Phase 2","NIH","March 2011",2014-08-01,2014-08-01,2016-02-12,560,"Multicentric","1"
"2226",2305,"Has Results","All","Phase 2","NIH","December 2008",2014-09-01,2014-10-01,2016-01-20,506,"Multicentric","1"
"2227",2306,"Has Results","All","Phase 2","Industry|Other","June 2010",2012-09-01,2014-12-01,2016-01-12,1228,"Multicentric","1"
"2228",2307,"No Results Available","All","Phase 2","Industry","March 2014",2015-08-01,2015-08-01,NA,NA,"Multicentric","1"
"2229",2308,"No Results Available","Female","Phase 2","Industry","June 15, 2012",2015-06-15,2018-10-12,NA,NA,"Multicentric","1"
"2230",2309,"No Results Available","Female","Phase 2|Phase 3","Other","May 2010",2011-04-01,NA,NA,NA," Taiwan","0"
"2231",2310,"No Results Available","All","Phase 1","Industry","June 2012",2014-02-01,2014-02-01,NA,NA,"Multicentric","1"
"2232",2311,"No Results Available","Male","Phase 4","Other","October 2009",2011-12-01,2013-10-01,NA,NA," Republic of","0"
"2233",2312,"No Results Available","All","Phase 1","Industry","January 2010",2012-12-01,2013-08-01,NA,NA,"Multicentric","1"
"2234",2313,"No Results Available","All","Phase 2","NIH|Other","August 31, 2012",2014-05-09,2014-06-13,NA,NA,"Multicentric","1"
"2235",2314,"No Results Available","All","Phase 2","Other","September 19, 2011",2017-10-25,2017-10-25,NA,NA," Switzerland","0"
"2236",2315,"No Results Available","Female","Phase 2","Other","March 2013",2015-06-01,2015-10-01,NA,NA," Netherlands","0"
"2237",2316,"Has Results","All","Phase 2","Industry","January 2010",2011-12-01,2011-12-01,2016-03-10,1561,"Multicentric","1"
"2238",2317,"No Results Available","All","Phase 2","Other","October 2011",2017-08-31,2017-08-31,NA,NA,"Multicentric","1"
"2239",2318,"No Results Available","All","Phase 1","Industry","May 2010",2011-09-01,2011-09-01,NA,NA,"Multicentric","1"
"2240",2319,"No Results Available","All","Phase 2","Other","December 2009",2011-12-01,2012-08-01,NA,NA," Italy","0"
"2241",2320,"No Results Available","Female","Phase 4","Other","April 2010",2011-05-01,2013-07-01,NA,NA," Italy","0"
"2242",2322,"No Results Available","All","Phase 2","Other","November 2008",2013-01-01,2013-01-01,NA,NA," China","0"
"2243",2323,"No Results Available","All","Phase 1","Industry|Other","October 2008",2014-09-01,2015-04-01,NA,NA,"Multicentric","1"
"2244",2324,"No Results Available","All","Phase 1","Industry","November 2011",2014-04-01,2018-02-01,NA,NA,"Multicentric","1"
"2245",2325,"No Results Available","Male","Phase 1","NIH|Other","August 2008",2012-06-01,2013-08-01,NA,NA," United States","0"
"2246",2326,"Has Results","All","Phase 1","Other","August 2011",2015-09-01,2015-09-01,2017-04-18,595," Belgium","0"
"2247",2327,"Has Results","All","Phase 1|Phase 2","NIH","October 2008",2012-05-01,2012-05-01,2013-04-23,357,"Multicentric","1"
"2248",2328,"No Results Available","All","Phase 1","Industry","September 2013",2015-03-01,2015-03-01,NA,NA,"Multicentric","1"
"2249",2329,"No Results Available","All","Phase 2","Industry|Other","April 2011",2013-05-01,2013-05-01,NA,NA,"Multicentric","1"
"2250",2330,"Has Results","Female","Phase 2","Industry","February 2011",2014-03-01,2014-03-01,2015-04-10,405,"Multicentric","1"
"2251",2331,"No Results Available","All","Phase 1","Other","May 7, 2013",2014-09-30,2017-08-11,NA,NA," United States","0"
"2252",2332,"No Results Available","Male","Phase 2","Industry","October 2010",2012-04-01,2012-04-01,NA,NA,"Multicentric","1"
"2253",2333,"No Results Available","All","Phase 1","Industry","June 14, 2011",2016-06-03,2016-06-03,NA,NA,"Multicentric","1"
"2254",2334,"Has Results","All","Phase 1","Industry","February 2011",2011-12-01,2012-02-01,2018-10-25,2520," Switzerland","0"
"2255",2335,"No Results Available","All","Phase 1","Industry|Other","January 2011",2013-05-01,2013-10-01,NA,NA,"Multicentric","1"
"2256",2336,"No Results Available","All","Phase 1","Industry","June 2009",2010-08-01,2010-08-01,NA,NA,"Multicentric","1"
"2257",2337,"No Results Available","All","Phase 1","Other","November 2011",2015-03-01,2015-03-01,NA,NA,"Multicentric","1"
"2258",2338,"Has Results","All","Phase 1","Industry","February 2009",2013-11-01,2013-11-01,2015-12-14,773," United Kingdom","0"
"2259",2339,"No Results Available","All","Phase 1","Industry","December 2009",2013-06-01,2013-06-01,NA,NA,"Multicentric","1"
"2260",2340,"No Results Available","Male","Phase 1","Industry","March 2012",2012-10-01,2016-04-01,NA,NA,"Multicentric","1"
"2261",2341,"No Results Available","All","Phase 1|Phase 2","Industry|Other","May 2013",2016-09-01,2016-09-01,NA,NA,"Multicentric","1"
"2262",2342,"No Results Available","Male","Phase 2","Industry","September 30, 2013",2017-05-16,2017-05-16,NA,NA,"Multicentric","1"
"2263",2343,"Has Results","All","Phase 2","Industry","August 15, 2013",2014-09-18,2016-07-04,2015-10-02,379,"Multicentric","1"
"2264",2344,"No Results Available","Female","Phase 3","Other","January 2008",2014-11-01,2014-11-01,NA,NA," Finland","0"
"2265",2345,"No Results Available","All","Phase 1","Industry","May 2011",2012-02-01,NA,NA,NA,"Multicentric","1"
"2266",2347,"No Results Available","Female","Phase 2","Other","January 2011",2014-10-01,2014-10-01,NA,NA,"Multicentric","1"
"2267",2348,"No Results Available","All","Phase 1","Industry","March 2009",2011-12-01,2012-04-01,NA,NA," United States","0"
"2268",2349,"Has Results","All","Phase 2","Industry|Other","August 2012",2015-06-01,2015-12-01,2016-05-24,358,"Multicentric","1"
"2269",2350,"Has Results","All","Phase 2","NIH","February 7, 2008",2014-06-20,2015-03-01,2015-03-11,264," United States","0"
"2270",2351,"No Results Available","All","Phase 1","Other","May 2009",2012-09-01,2012-09-01,NA,NA," United States","0"
"2271",2352,"No Results Available","All","Phase 3","Other","July 2009",2016-06-01,2016-06-01,NA,NA,"Multicentric","1"
"2272",2353,"No Results Available","Female","Phase 2","Industry","March 13, 2015",2016-12-13,2017-11-21,NA,NA,"Multicentric","1"
"2273",2354,"No Results Available","All","Phase 1","Other","September 2014",2016-07-01,2016-07-01,NA,NA," China","0"
"2274",2356,"No Results Available","All","Phase 2|Phase 3","Other","March 2015",2016-01-01,NA,NA,NA," Netherlands","0"
"2275",2357,"No Results Available","All","Phase 1","Industry","July 1, 2013",2016-02-15,2018-05-21,NA,NA,"Multicentric","1"
"2276",2358,"No Results Available","All","Phase 1","Industry","March 2009",2014-04-01,2014-04-01,NA,NA,"Multicentric","1"
"2277",2359,"No Results Available","All","Phase 1","NIH","January 7, 2011",2013-08-27,2013-08-27,NA,NA," United States","0"
"2278",2360,"No Results Available","Male","Phase 1","Industry","October 2, 2013",2014-02-03,2014-02-03,NA,NA," Republic of","0"
"2279",2361,"No Results Available","All","Phase 1","Other","January 2009",2011-11-01,2011-11-01,NA,NA," United States","0"
"2280",2362,"Has Results","All","Phase 2","Industry","December 2011",2013-09-01,2013-09-01,2014-10-06,400,"Multicentric","1"
"2281",2363,"No Results Available","All","Phase 2","Other","July 2013",2014-04-01,2014-12-01,NA,NA," Italy","0"
"2282",2364,"Has Results","All","Phase 2","Industry","August 2010",2013-08-01,2013-08-01,2014-05-19,291,"Multicentric","1"
"2283",2365,"Has Results","All","Phase 2","Industry","February 2010",2012-02-01,2012-10-01,2013-03-19,412,"Multicentric","1"
"2284",2366,"No Results Available","All","Phase 1","Industry","July 2008",2012-07-01,2012-07-01,NA,NA,"Multicentric","1"
"2285",2367,"No Results Available","All","Phase 2","Other","January 2010",2011-12-01,2011-12-01,NA,NA," Republic of","0"
"2286",2368,"Has Results","All","Phase 1","Industry","November 10, 2011",2015-04-01,2016-06-16,2017-11-01,945," United States","0"
"2287",2369,"Has Results","All","Phase 3","Industry","October 2010",2014-04-01,2014-05-01,2015-12-03,611," India","0"
"2288",2370,"No Results Available","All","Phase 1","Industry","May 2012",2014-04-01,2014-05-01,NA,NA,"Multicentric","1"
"2289",2371,"Has Results","Female","Phase 3","Other","March 2009",2012-07-01,2017-06-14,2015-05-29,1062,"Multicentric","1"
"2290",2372,"No Results Available","Female","Phase 2","Other","September 2015",2016-09-01,2016-09-01,NA,NA," China","0"
"2291",2373,"No Results Available","All","Phase 3","NIH|Other","September 2009",2013-08-01,2013-08-01,NA,NA," United States","0"
"2292",2374,"No Results Available","All","Phase 1","Industry","October 2009",2012-05-01,2016-01-01,NA,NA,"Multicentric","1"
"2293",2375,"No Results Available","All","Phase 1","Industry","September 2011",2014-03-01,2014-03-01,NA,NA,"Multicentric","1"
"2294",2376,"No Results Available","Male","Phase 3","NIH|Other","August 24, 2012",2017-09-11,2017-09-11,NA,NA," United States","0"
"2295",2377,"No Results Available","Male","Phase 1","Industry|Other","October 2014",2016-12-01,2018-06-01,NA,NA," United Kingdom","0"
"2296",2378,"No Results Available","All","Phase 2","Industry","June 2008",2010-12-01,2010-12-01,NA,NA,"Multicentric","1"
"2297",2379,"No Results Available","All","Phase 2","Industry|Other","May 2011",2013-04-01,2016-05-01,NA,NA," China","0"
"2298",2380,"No Results Available","Female","Phase 1","Other","October 12, 2015",2017-05-09,2017-05-09,NA,NA," United States","0"
"2299",2381,"No Results Available","All","Phase 1","Other","January 2009",2014-02-01,2014-02-01,NA,NA," United States","0"
"2300",2382,"Has Results","All","Phase 4","Industry","March 2011",2013-09-01,2013-09-01,2015-03-30,575,"Multicentric","1"
"2301",2383,"Has Results","All","Phase 2","Other","June 2010",2016-08-16,2016-08-16,2018-09-28,773," United States","0"
"2302",2384,"Has Results","All","Phase 2","Industry|Other","June 2008",2015-04-01,2015-04-01,2017-06-01,792," United States","0"
"2303",2385,"No Results Available","All","Phase 2","Other","April 2008",2009-09-01,2009-09-01,NA,NA,"Multicentric","1"
"2304",2386,"No Results Available","All","Phase 2","Industry","November 2008",2010-05-01,2012-04-01,NA,NA,"Multicentric","1"
"2305",2387,"No Results Available","All","Phase 1","NIH","November 19, 2010",2013-12-30,2017-10-27,NA,NA," United States","0"
"2306",2388,"Has Results","All","Phase 1|Phase 2","Industry","February 2009",2010-07-01,2012-01-01,2013-06-24,1089," United States","0"
"2307",2389,"No Results Available","All","Phase 1","Industry","July 2008",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"2308",2391,"No Results Available","All","Phase 1","Industry","January 2011",2014-02-01,2014-02-01,NA,NA,"Multicentric","1"
"2309",2392,"Has Results","Male","Phase 2","Other","June 2010",2016-12-01,2017-04-01,2018-10-17,685," United States","0"
"2310",2393,"No Results Available","All","Phase 1","Industry","August 2013",2015-02-01,2015-12-01,NA,NA," China","0"
"2311",2394,"No Results Available","All","Phase 1","Other","June 2010",2012-08-01,2012-08-01,NA,NA,"Multicentric","1"
"2312",2395,"Has Results","Male","Phase 2","Industry|Other","February 2013",2016-07-01,2017-08-01,2017-11-29,516,"Multicentric","1"
"2313",2396,"No Results Available","All","Phase 1","Industry","July 2010",2012-08-01,2012-09-01,NA,NA,"Multicentric","1"
"2314",2397,"No Results Available","All","Phase 2","Industry","March 2009",2011-11-01,2012-01-01,NA,NA," United Kingdom","0"
"2315",2398,"No Results Available","Female","Phase 3","Other","June 2011",2012-10-01,2012-11-01,NA,NA," Thailand","0"
"2316",2399,"Has Results","All","Phase 2","Industry|Other","April 2008",2015-09-01,2015-12-01,2018-04-18,960," United States","0"
"2317",2400,"Has Results","All","Phase 2","Industry","June 2011",2012-08-01,2013-05-01,2013-11-20,476," Germany","0"
"2318",2401,"No Results Available","All","Phase 1|Phase 2","Other","November 2012",2015-06-01,2015-06-01,NA,NA," China","0"
"2319",2402,"Has Results","All","Phase 2","Other","March 2009",2016-05-01,2017-02-01,2017-09-11,498,"Multicentric","1"
"2320",2403,"Has Results","Female","Phase 2","Industry","November 2011",2014-03-01,2014-03-01,2015-03-31,395,"Multicentric","1"
"2321",2404,"No Results Available","All","Phase 2","Other","October 2010",2016-07-01,2016-07-05,NA,NA," France","0"
"2322",2405,"Has Results","All","Phase 2","Industry","September 2009",2014-01-01,2014-01-01,2015-01-07,371,"Multicentric","1"
"2323",2406,"Has Results","All","Phase 1","Industry","July 2008",2010-05-01,2013-09-01,2016-09-01,2315,"Multicentric","1"
"2324",2407,"No Results Available","Female","Phase 1","Industry","November 2013",2015-09-01,2015-12-01,NA,NA,"Multicentric","1"
"2325",2408,"No Results Available","All","Phase 1","Industry","November 26, 2013",2017-09-18,2017-09-18,NA,NA,"Multicentric","1"
"2326",2409,"No Results Available","Male","Phase 2","Other","March 2009",2012-01-01,2012-01-01,NA,NA," Republic of","0"
"2327",2410,"Has Results","Male","Phase 4","NIH|Other","February 2011",2016-11-01,2017-01-01,2017-09-08,311," United States","0"
"2328",2411,"No Results Available","Male","Phase 1|Phase 2","Other","January 2015",2017-09-28,2017-09-28,NA,NA," Canada","0"
"2329",2412,"No Results Available","All","Phase 2","Other","July 2012",2014-11-01,2015-08-01,NA,NA," Brazil","0"
"2330",2413,"No Results Available","All","Phase 1","Industry","April 2013",2015-11-01,2016-03-01,NA,NA,"Multicentric","1"
"2331",2414,"No Results Available","All","Phase 1","Industry|Other","September 2011",2015-12-01,2015-12-01,NA,NA," United States","0"
"2332",2415,"Has Results","All","Phase 2","Other","December 2008",2012-06-01,2012-06-01,2013-10-17,503," United States","0"
"2333",2416,"Has Results","All","Phase 1|Phase 2","Industry","October 2010",2013-10-01,2014-03-01,2016-05-30,972,"Multicentric","1"
"2334",2417,"No Results Available","All","Phase 2","Industry|Other","December 2009",2011-12-01,2013-11-01,NA,NA,"Multicentric","1"
"2335",2418,"No Results Available","All","Phase 2","Other","December 2008",2010-07-01,2011-04-01,NA,NA," Austria","0"
"2336",2419,"No Results Available","All","Phase 4","Other","April 2012",2014-12-01,2014-12-01,NA,NA,"Multicentric","1"
"2337",2420,"No Results Available","All","Phase 2","Other","November 2009",2013-06-01,2016-03-01,NA,NA,"Multicentric","1"
"2338",2421,"No Results Available","All","Phase 1|Phase 2","Other","January 2015",2015-08-01,2015-08-01,NA,NA," China","0"
"2339",2422,"Has Results","Female","Phase 2","Industry","March 11, 2014",2017-07-07,2017-07-08,2018-09-14,434,"Multicentric","1"
"2340",2423,"No Results Available","All","Phase 1","Industry","September 26, 2013",2016-08-17,2016-09-19,NA,NA,"Multicentric","1"
"2341",2424,"No Results Available","All","Phase 1","NIH|Other","July 22, 2009",2012-12-01,2017-09-29,NA,NA,"Multicentric","1"
"2342",2425,"No Results Available","All","Phase 1","Industry","July 2008",2011-08-01,2013-01-01,NA,NA,"Multicentric","1"
"2343",2426,"No Results Available","All","Phase 3","Other","February 2009",2014-03-01,2014-03-01,NA,NA," France","0"
"2344",2427,"No Results Available","All","Phase 1","Other","March 2009",2015-12-01,2016-01-01,NA,NA," Canada","0"
"2345",2428,"Has Results","Female","Phase 2","NIH|Other","September 2008",2014-07-01,2014-07-01,2018-01-09,1288,"Multicentric","1"
"2346",2429,"No Results Available","Female","Phase 3","Other","November 2011",2016-01-01,2016-01-01,NA,NA,"Multicentric","1"
"2347",2430,"No Results Available","Male","Phase 1|Phase 2","NIH","October 2009",2013-02-01,2013-02-01,NA,NA,"Multicentric","1"
"2348",2431,"No Results Available","All","Phase 1","Industry","September 24, 2013",2015-08-01,2016-11-18,NA,NA,"Multicentric","1"
"2349",2432,"No Results Available","All","Phase 2","Other","July 2013",2015-12-01,2015-12-01,NA,NA," Thailand","0"
"2350",2433,"Has Results","Female","Phase 2","Other","June 5, 2009",2017-06-06,2017-06-06,2018-06-28,387," United States","0"
"2351",2434,"Has Results","Male","Phase 2","Industry","August 2012",2013-12-01,2013-12-01,2016-03-30,850,"Multicentric","1"
"2352",2435,"No Results Available","All","Phase 1","Other","June 2009",2015-03-01,2015-03-01,NA,NA," Netherlands","0"
"2353",2436,"Has Results","All","Phase 1","Industry","June 2012",2015-04-01,2015-05-01,2016-07-14,470,"Multicentric","1"
"2354",2437,"No Results Available","Male","Phase 4","Other","June 2012",2016-01-01,2016-01-01,NA,NA," Netherlands","0"
"2355",2438,"No Results Available","All","Phase 1","Industry","October 2015",2017-04-10,2017-04-10,NA,NA,"Multicentric","1"
"2356",2439,"No Results Available","All","Phase 1|Phase 2","Industry","June 2014",2016-05-01,2016-07-01,NA,NA,"Multicentric","1"
"2357",2440,"No Results Available","Male","Phase 1","Industry|Other","June 2011",2015-07-01,2016-02-01,NA,NA,"Multicentric","1"
"2358",2441,"Has Results","All","Phase 1","Industry","October 31, 2013",2015-10-31,2015-10-31,2017-03-07,493," Germany","0"
"2359",2442,"Has Results","All","Phase 2","NIH","October 2010",2012-07-01,2014-05-01,2014-11-26,878,"Multicentric","1"
"2360",2443,"No Results Available","All","Phase 1|Phase 2","Industry|Other","October 2011",2017-01-01,2017-01-01,NA,NA,"Multicentric","1"
"2361",2444,"No Results Available","Male","Phase 2","Other","October 2008",2011-08-01,2011-11-01,NA,NA,"Multicentric","1"
"2362",2445,"No Results Available","All","Phase 1","Industry","August 2009",2013-01-01,2013-01-01,NA,NA,"Multicentric","1"
"2363",2446,"No Results Available","All","Phase 1","Industry","February 2012",2016-01-01,2016-01-01,NA,NA,"Multicentric","1"
"2364",2447,"No Results Available","Male","Phase 3","Industry|Other","September 2010",2011-12-01,2011-12-01,NA,NA," Canada","0"
"2365",2448,"No Results Available","All","Phase 1","Industry","March 31, 2008",2014-02-06,2014-02-06,NA,NA,"Multicentric","1"
"2366",2449,"No Results Available","Female","Phase 2","Other","June 2012",2015-05-01,2016-03-01,NA,NA,"Multicentric","1"
"2367",2450,"Has Results","Female","Phase 2","NIH|Other","March 2010",2013-10-01,2014-05-01,2016-12-19,1175,"Multicentric","1"
"2368",2451,"No Results Available","All","Phase 1|Phase 2","Other","January 2010",2013-05-01,2013-05-01,NA,NA," Canada","0"
"2369",2452,"Has Results","All","Phase 3","Industry","September 2011",2015-12-01,2016-01-01,2016-02-29,90,"Multicentric","1"
"2370",2453,"No Results Available","All","Phase 1","Industry","September 22, 2011",2015-11-25,2015-11-25,NA,NA,"Multicentric","1"
"2371",2455,"Has Results","All","Phase 2","Industry","April 24, 2009",2012-05-30,2016-07-07,2014-08-06,798,"Multicentric","1"
"2372",2456,"No Results Available","All","Phase 2|Phase 3","Industry","February 2014",2014-03-01,2014-06-01,NA,NA,"Multicentric","1"
"2373",2457,"No Results Available","All","Phase 2","Other","January 2013",2014-09-01,2014-12-01,NA,NA," Hong Kong","0"
"2374",2458,"No Results Available","Male","Phase 2","Industry|Other","June 17, 2011",2017-04-07,2017-04-07,NA,NA," United States","0"
"2375",2459,"No Results Available","All","Phase 1","Industry","March 2012",2014-07-01,2014-07-01,NA,NA,"Multicentric","1"
"2376",2460,"Has Results","Male","Phase 2","NIH|Other","September 2011",2014-08-01,2014-08-01,2015-10-29,454," United States","0"
"2377",2461,"No Results Available","All","Phase 1","Industry","June 15, 2012",2017-07-05,2017-07-05,NA,NA,"Multicentric","1"
"2378",2462,"Has Results","All","Phase 1","Industry","July 2009",2013-02-01,2013-02-01,2015-12-10,1042,"Multicentric","1"
"2379",2463,"No Results Available","All","Phase 1","Industry","October 2009",2012-04-01,2012-04-01,NA,NA," Japan","0"
"2380",2464,"No Results Available","All","Phase 1","Industry","September 2010",2017-01-01,2017-01-01,NA,NA,"Multicentric","1"
"2381",2465,"Has Results","All","Phase 2","NIH","October 2008",2011-04-01,2012-10-01,2013-12-05,979,"Multicentric","1"
"2382",2466,"No Results Available","All","Phase 1","Industry","March 2009",2014-11-01,2014-11-01,NA,NA,"Multicentric","1"
"2383",2467,"No Results Available","All","Phase 4","Other","August 2010",2015-04-01,2015-06-01,NA,NA," China","0"
"2384",2468,"Has Results","All","Phase 1","Industry","October 2013",2015-08-01,2015-09-01,2016-10-21,447,"Multicentric","1"
"2385",2469,"No Results Available","All","Phase 1|Phase 2","Industry","August 2015",2016-02-01,2016-02-01,NA,NA," Canada","0"
"2386",2470,"No Results Available","All","Phase 1","Other","March 2012",2015-04-01,2015-04-01,NA,NA," United States","0"
"2387",2471,"Has Results","All","Phase 2","NIH|Other","September 2008",2014-10-01,2015-04-01,2015-06-04,246,"Multicentric","1"
"2388",2472,"No Results Available","All","Phase 1","Industry","May 2009",2012-07-01,2012-07-01,NA,NA,"Multicentric","1"
"2389",2473,"No Results Available","All","Phase 2","Industry","October 2013",2015-10-01,2017-04-11,NA,NA,"Multicentric","1"
"2390",2474,"No Results Available","All","Phase 2","Industry|Other","October 2009",2014-06-01,2014-06-01,NA,NA," United Kingdom","0"
"2391",2475,"No Results Available","All","Phase 1|Phase 2","Other","October 2009",2013-03-01,2013-05-01,NA,NA,"Multicentric","1"
"2392",2476,"No Results Available","All","Phase 1","Industry","October 2009",2011-10-01,2011-10-01,NA,NA,"Multicentric","1"
"2393",2477,"No Results Available","Female","Phase 2","Other","June 2009",2011-03-01,2011-12-01,NA,NA," Republic of","0"
"2394",2478,"Has Results","All","Phase 1|Phase 2","NIH","October 31, 2008",2013-09-09,2018-02-14,2015-05-21,619,"Multicentric","1"
"2395",2479,"No Results Available","All","Phase 1|Phase 2","Other","August 2011",2016-07-01,2016-07-01,NA,NA,"Multicentric","1"
"2396",2480,"No Results Available","All","Phase 2","Other","June 2009",2013-04-01,2013-04-01,NA,NA,"Multicentric","1"
"2397",2481,"No Results Available","Female","Phase 3","Other","September 2009",2011-03-01,2011-03-01,NA,NA,"Multicentric","1"
"2398",2482,"No Results Available","All","Phase 1","Industry","May 2011",2014-01-01,2014-01-01,NA,NA," Japan","0"
"2399",2483,"No Results Available","All","Phase 1","Other","June 2011",2014-07-01,2016-12-01,NA,NA," France","0"
"2400",2484,"No Results Available","Female","Phase 2","Other","February 2013",2015-08-01,2016-02-01,NA,NA," Germany","0"
"2401",2485,"Has Results","All","Phase 2","NIH|Other","May 8, 2012",2017-08-23,2017-08-23,2018-08-10,352," United States","0"
"2402",2486,"No Results Available","All","Phase 3","Other","February 2010",2015-09-01,2015-09-01,NA,NA," France","0"
"2403",2487,"No Results Available","All","Phase 1","Industry","July 2010",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"2404",2488,"No Results Available","All","Phase 1","Industry","October 2014",2017-01-13,2017-01-13,NA,NA,"Multicentric","1"
"2405",2489,"Has Results","All","Phase 2","Other","October 2009",2015-05-01,2017-11-01,2016-12-19,598," United States","0"
"2406",2490,"No Results Available","All","Phase 1","Industry","March 2011",2013-05-01,2013-06-01,NA,NA,"Multicentric","1"
"2407",2491,"Has Results","All","Phase 3","Industry","December 2, 2010",2014-07-17,2016-06-20,2015-07-15,363,"Multicentric","1"
"2408",2492,"Has Results","All","Phase 2","Industry|Other","August 14, 2008",2011-12-16,2011-12-16,2016-06-06,1634," United States","0"
"2409",2494,"No Results Available","All","Phase 1","Industry|Other","May 2009",2010-05-01,2014-08-01,NA,NA,"Multicentric","1"
"2410",2495,"No Results Available","All","Phase 2","Other","April 2010",2012-06-01,2013-01-01,NA,NA," Republic of","0"
"2411",2496,"No Results Available","All","Phase 1","Industry|Other","June 2009",2012-11-01,2012-11-01,NA,NA,"Multicentric","1"
"2412",2497,"No Results Available","Male","Phase 3","Other","September 2009",2016-01-01,2016-01-01,NA,NA,"Multicentric","1"
"2413",2498,"No Results Available","All","Phase 1","Industry","January 26, 2011",2011-04-08,2011-04-08,NA,NA," United States","0"
"2414",2499,"No Results Available","All","Phase 2","Industry","August 2009",2013-05-01,2014-06-01,NA,NA,"Multicentric","1"
"2415",2500,"No Results Available","All","Phase 1","Other","October 2008",2011-07-01,2011-07-01,NA,NA," United States","0"
"2416",2501,"No Results Available","All","Phase 4","Other","October 2014",2015-01-01,2015-02-01,NA,NA," Republic of","0"
"2417",2502,"No Results Available","All","Phase 1","Industry","May 22, 2014",2017-01-27,2017-01-27,NA,NA,"Multicentric","1"
"2418",2503,"No Results Available","Female","Phase 2","Other","March 2009",2013-11-01,2014-10-01,NA,NA," France","0"
"2419",2504,"No Results Available","All","Phase 2","Industry","April 2010",2011-05-01,2013-10-01,NA,NA,"Multicentric","1"
"2420",2505,"No Results Available","Male","Phase 1|Phase 2","Industry|Other","August 2013",2017-06-01,2017-12-01,NA,NA," Netherlands","0"
"2421",2506,"No Results Available","All","Phase 2","Industry","August 21, 2015",2017-07-31,2018-05-24,NA,NA,"Multicentric","1"
"2422",2507,"Has Results","All","Phase 1|Phase 2","Industry","March 2008",2010-03-01,2012-10-01,2014-02-28,1460,"Multicentric","1"
"2423",2508,"No Results Available","Female","Phase 3","Other","September 2008",2013-09-01,2014-09-01,NA,NA," France","0"
"2424",2509,"No Results Available","All","Phase 1","Industry","March 16, 2015",2017-10-11,2017-10-11,NA,NA,"Multicentric","1"
"2425",2510,"Has Results","Female","Phase 2","Industry","September 2010",2012-10-01,2014-01-01,2013-06-04,246,"Multicentric","1"
"2426",2511,"No Results Available","All","Phase 1","Industry","July 2013",2014-12-01,2015-01-01,NA,NA," Netherlands","0"
"2427",2512,"No Results Available","All","Phase 1","Other","June 2012",2015-12-01,2015-12-01,NA,NA," United States","0"
"2428",2513,"No Results Available","Female","Phase 2","Industry","December 2015",2016-01-01,2016-01-01,NA,NA,"Multicentric","1"
"2429",2514,"No Results Available","All","Phase 1","Industry","October 2009",2012-06-01,2012-10-01,NA,NA,"Multicentric","1"
"2430",2515,"No Results Available","All","Phase 1","Industry","May 2010",2013-11-01,2013-11-01,NA,NA,"Multicentric","1"
"2431",2516,"No Results Available","All","Phase 1|Phase 2","Other","January 2015",2015-08-01,2015-08-01,NA,NA," China","0"
